 Id,ZipCode,Location,City,State,Population,AvgIncome,NationalRank 
255,99179,"46.494979, -117.125923",Uniontown,WA,499,40714,11432
256,98144,"47.585499, -122.301467",Seattle,WA,24913,40693,11448
257,99016,"47.607880, -117.139712",Greenacres,WA,7009,40638,11492
258,98188,"47.450308, -122.280575",Seattle,WA,22583,40618,11521
259,99126,"48.730806, -117.957219",Evans,WA,748,40592,11536
260,99029,"47.693841, -117.831006",Reardan,WA,1341,40521,11603
261,99018,"47.293986, -117.132359",Latah,WA,270,40500,11619
262,99102,"46.798447, -117.258256",Albion,WA,563,40446,11676
263,98603,"45.982514, -122.388262",Ariel,WA,732,40398,11733
264,99008,"47.506598, -117.900900",Edwall,WA,707,40391,11744
265,98649,"46.345017, -122.639922",Toutle,WA,735,40313,11823
266,98273,"48.402754, -122.376148",Mount Vernon,WA,25217,40304,11838
267,98565,"46.584123, -122.911843",Napavine,WA,499,40294,11846
268,98815,"47.518225, -120.486254",Cashmere,WA,7778,40256,11885
269,98105,"47.662129, -122.296786",Seattle,WA,38963,40246,11899
270,99371,"46.815818, -118.331159",Washtucna,WA,419,40192,11956
271,98312,"47.580629, -122.781737",Bremerton,WA,31968,40133,12030
272,98814,"48.241631, -120.195712",Carlton,WA,567,40085,12061
273,98555,"47.515343, -123.073057",Lilliwaup,WA,476,40000,12124
274,98224,"47.760645, -121.473033",Baring,WA,202,40000,12163
275,98376,"47.842496, -122.838654",Quilcene,WA,1767,39896,12221
276,99301,"46.377467, -118.957561",Pasco,WA,40905,39786,12318
277,98537,"46.826087, -123.583438",Cosmopolis,WA,1793,39750,12348
278,99006,"47.967251, -117.501268",Deer Park,WA,9163,39663,12414
279,98532,"46.631772, -123.050814",Chehalis,WA,20211,39614,12472
280,98619,"46.001091, -121.281497",Glenwood,WA,522,39583,12486
281,99206,"47.629603, -117.258914",Spokane,WA,31711,39535,12530
282,98330,"46.759076, -122.169796",Elbe,WA,63,39500,12561
283,98546,"47.327011, -122.925173",Grapeview,WA,2256,39331,12724
284,98596,"46.500752, -122.930905",Winlock,WA,6567,39179,12840
285,98592,"47.327750, -123.056149",Union,WA,1281,39167,12861
286,99350,"46.142719, -119.701751",Prosser,WA,11399,39055,12953
287,98663,"45.654667, -122.662337",Vancouver,WA,14152,39022,12978
288,98925,"47.361084, -121.249759",Easton,WA,588,38958,13041
289,99217,"47.740564, -117.274568",Spokane,WA,11267,38902,13096
290,99224,"47.650388, -117.526399",Spokane,WA,16084,38890,13106
291,98639,"45.663887, -121.966772",North Bonneville,WA,467,38875,13120
292,99345,"45.941592, -119.689159",Paterson,WA,222,38750,13218
293,99335,"46.689633, -118.494286",Kahlotus,WA,288,38750,13219
294,98938,"46.376837, -120.094444",Outlook,WA,1992,38700,13287
295,99341,"46.912435, -118.639665",Lind,WA,998,38594,13376
296,98261,"48.482500, -122.883954",Lopez Island,WA,2179,38594,13381
297,98584,"47.210605, -123.158424",Shelton,WA,31214,38543,13413
298,98641,"46.562265, -124.028893",Oysterville,WA,48,38542,13416
299,98108,"47.534868, -122.305792",Seattle,WA,21223,38413,13545
300,98222,"48.565071, -122.792647",Blakely Island,WA,64,38393,13569
301,99361,"46.237841, -118.145763",Waitsburg,WA,1929,38269,13677
302,98559,"46.958822, -123.327364",Malone,WA,88,38250,13685
303,98632,"46.204995, -123.062761",Longview,WA,47202,38195,13729
304,98358,"48.031999, -122.684007",Nordland,WA,837,38182,13746
305,98368,"48.110129, -122.821169",Port Townsend,WA,12818,38100,13822
306,98548,"47.549895, -123.233568",Hoodsport,WA,1766,38095,13826
307,98408,"47.205050, -122.446513",Tacoma,WA,29095,38030,13888
308,99161,"46.903033, -117.139126",Palouse,WA,1454,37955,13976
309,99216,"47.675073, -117.198385",Spokane,WA,21576,37930,13985
310,99360,"46.098933, -118.678149",Touchet,WA,1171,37895,14018
311,98363,"47.964707, -123.813787",Port Angeles,WA,12167,37791,14116
312,98672,"45.843655, -121.448223",White Salmon,WA,5088,37769,14136
313,98626,"46.125222, -122.784032",Kelso,WA,22549,37760,14140
314,99158,"47.130498, -117.249184",Oakesdale,WA,608,37708,14194
315,98858,"47.670807, -119.888540",Waterville,WA,1659,37679,14232
316,99343,"46.596939, -119.162490",Mesa,WA,3086,37674,14240
317,99105,"46.870311, -118.080007",Benge,WA,57,37500,14390
318,98591,"46.444323, -122.778557",Toledo,WA,2997,37474,14430
319,98148,"47.442609, -122.322164",Seattle,WA,9519,37411,14479
320,98382,"48.062363, -123.092401",Sequim,WA,21547,37392,14498
321,99169,"47.080111, -118.372804",Ritzville,WA,2534,37308,14597
322,99030,"47.476380, -117.104077",Rockford,WA,848,37273,14635
323,99111,"46.848116, -117.454849",Colfax,WA,4209,37259,14649
324,99402,"46.198184, -117.148485",Asotin,WA,1709,37188,14742
325,99122,"47.674684, -118.187715",Davenport,WA,3272,37138,14799
326,98002,"47.307068, -122.215480",Auburn,WA,30815,36991,14964
327,98204,"47.900117, -122.253851",Everett,WA,31351,36944,15025
328,98801,"47.412675, -120.342082",Wenatchee,WA,36551,36929,15041
329,99034,"47.882826, -117.745390",Tumtum,WA,210,36875,15104
330,99135,"47.630485, -119.109048",Hartline,WA,243,36875,15106
331,98937,"46.733955, -121.274154",Naches,WA,3355,36860,15138
332,98837,"47.174136, -119.287942",Moses Lake,WA,32400,36859,15140
333,98846,"48.030365, -120.014009",Pateros,WA,1005,36818,15177
334,99148,"48.112677, -117.588077",Loon Lake,WA,2001,36806,15188
335,98613,"45.743949, -120.965143",Centerville,WA,489,36786,15207
336,98527,"46.625953, -123.956961",Bay Center,WA,217,36771,15227
337,98862,"48.471180, -120.471379",Winthrop,WA,1916,36736,15266
338,98823,"47.305421, -119.677215",Ephrata,WA,9897,36670,15339
339,98570,"46.594576, -122.678494",Onalaska,WA,3576,36521,15505
340,98303,"47.178043, -122.688918",Anderson Island,WA,2416,36480,15555
341,98834,"48.120309, -120.066445",Methow,WA,262,36458,15578
342,98953,"46.427027, -120.233693",Zillah,WA,6079,36438,15604
343,98852,"48.431977, -120.815494",Stehekin,WA,100,36364,15688
344,98635,"45.749002, -121.185487",Lyle,WA,2193,36328,15728
345,99110,"48.018791, -117.573233",Clayton,WA,1329,36250,15900
346,98941,"47.244781, -120.974261",Roslyn,WA,997,36250,15901
347,98643,"46.295441, -123.619706",Rosburg,WA,395,36250,15903
348,98903,"46.543437, -120.774264",Yakima,WA,13522,36239,15908
349,99326,"46.668891, -118.840344",Connell,WA,3680,36220,15920
350,98650,"45.982164, -121.538549",Trout Lake,WA,779,36181,15958
351,98256,"47.822643, -121.406198",Index,WA,523,36161,15985
352,99009,"48.026086, -117.252446",Elk,WA,3560,36157,15989
353,98281,"48.984669, -123.059496",Point Roberts,WA,1308,36146,16013
354,99336,"46.214005, -119.183953",Kennewick,WA,40820,36100,16066
355,99362,"46.091205, -118.328418",Walla Walla,WA,38023,35841,16399
356,98310,"47.596239, -122.621078",Bremerton,WA,18718,35819,16438
357,98331,"47.907183, -124.415646",Forks,WA,6220,35802,16462
358,98647,"46.315246, -123.401355",Skamokawa,WA,425,35769,16497
359,98568,"46.827251, -123.320218",Oakville,WA,2347,35726,16567
360,98362,"47.940158, -123.395678",Port Angeles,WA,21274,35721,16572
361,99124,"48.000431, -118.952286",Elmer City,WA,148,35625,16677
362,99130,"47.000855, -117.198379",Garfield,WA,889,35625,16678
363,99012,"47.386107, -117.197355",Fairfield,WA,981,35625,16679
364,99212,"47.660576, -117.310940",Spokane,WA,18347,35572,16768
365,98403,"47.265613, -122.459073",Tacoma,WA,7777,35569,16771
366,98241,"48.250061, -121.559140",Darrington,WA,1953,35568,16777
367,98304,"46.776327, -122.011107",Ashford,WA,794,35469,16906
368,99159,"47.323629, -118.749182",Odessa,WA,1645,35433,16950
369,98541,"47.057121, -123.405793",Elma,WA,9163,35423,16965
370,98857,"46.989083, -119.063999",Warden,WA,3724,35417,16990
371,98295,"48.958114, -122.117603",Sumas,WA,4826,35414,16991
372,98822,"47.900973, -120.547315",Entiat,WA,1874,35398,17003
373,99348,"46.377168, -118.474684",Prescott,WA,1699,35324,17111
374,98648,"45.698273, -121.878750",Stevenson,WA,2856,35256,17211
375,99171,"47.098248, -117.653890",Saint John,WA,1072,35150,17348
376,98830,"47.918879, -119.487973",Mansfield,WA,498,35125,17373
377,99123,"47.841945, -119.134482",Electric City,WA,924,35104,17393
378,98930,"46.269119, -119.897062",Grandview,WA,12919,35000,17484
379,99185,"47.748187, -118.678152",Wilbur,WA,1405,34948,17566
380,98947,"46.691825, -120.788859",Tieton,WA,2599,34866,17633
381,99347,"46.504166, -117.547544",Pomeroy,WA,2450,34844,17658
382,99205,"47.697416, -117.447976",Spokane,WA,43739,34778,17725
383,98356,"46.563541, -122.309262",Morton,WA,2158,34756,17747
384,99181,"48.153277, -117.750775",Valley,WA,1870,34676,17849
385,98848,"47.146756, -119.842981",Quincy,WA,9824,34571,17978
386,98404,"47.208981, -122.411638",Tacoma,WA,30679,34483,18057
387,99116,"48.014782, -118.935774",Coulee Dam,WA,1587,34471,18070
388,98557,"47.046547, -123.268606",Mccleary,WA,2776,34293,18279
389,99349,"46.725894, -119.780480",Mattawa,WA,5564,34167,18425
390,98617,"45.625192, -121.169345",Dallesport,WA,956,34145,18454
391,98237,"48.521734, -121.718028",Concrete,WA,2911,34038,18555
392,98610,"45.832258, -121.968019",Carson,WA,2747,34031,18560
393,99143,"46.736450, -117.909558",Lacrosse,WA,766,33889,18710
394,98831,"47.991845, -120.125315",Manson,WA,3178,33779,18803
395,98238,"48.315267, -122.351498",Conway,WA,70,33750,18843
396,98593,"46.412673, -123.012823",Vader,WA,1067,33750,18844
397,99125,"46.963970, -117.766079",Endicott,WA,887,33750,18845
398,98950,"46.920336, -119.996672",Vantage,WA,170,33750,18847
399,98952,"46.367864, -120.764000",White Swan,WA,2684,33700,18962
400,99170,"47.264281, -117.398121",Rosalia,WA,1218,33625,19028
401,98530,"46.782250, -122.802660",Bucoda,WA,551,33571,19077
402,99011,"47.617755, -117.652766",Fairchild Air Force Base,WA,4688,33560,19087
