RegionName,Date,State,Metro,County,City,SizeRank,Zri,YoY,ZriRecordCnt
98331,9/30/18,WA,Port Angeles,Clallam,Forks,10917,1193,-0.075193798,1385
99141,9/30/18,WA,Spokane-Spokane Valley,Stevens,Kettle Falls,10918,1250,0.026272578,2391
98953,9/30/18,WA,Yakima,Yakima,Zillah,10941,1195,-0.019688269,1952
99109,9/30/18,WA,Spokane-Spokane Valley,Stevens,Chewelah,11183,1247,0.014646054,2136
98380,9/30/18,WA,Bremerton-Silverdale,Kitsap,Seabeck,11204,1858,-0.057331304,1723
98936,9/30/18,WA,Yakima,Yakima,Moxee,11293,1284,0.019047619,1688
98281,9/30/18,WA,Bellingham,Whatcom,Point Roberts,11309,1527,-0.085080887,2700
98047,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Pacific,11385,1905,0.030286641,1662
98576,9/30/18,WA,Olympia-Tumwater,Thurston,Rainier,11459,1593,0.041176471,1599
98245,9/30/18,WA,,San Juan,Eastsound,11485,1841,-0.055897436,1870
99003,9/30/18,WA,Spokane-Spokane Valley,Spokane,Chattaroy,11513,1616,0.026031746,1112
98010,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Black Diamond,11533,2221,-0.007596068,1769
98359,9/30/18,WA,Bremerton-Silverdale,Kitsap,Olalla,11553,1819,-0.051121544,1453
98349,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Lakebay,11602,1640,0.043921069,2177
98257,9/30/18,WA,Mount Vernon-Anacortes,Skagit,La Conner,11689,1694,0.028536733,1971
98443,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Waller,11713,1834,0.036158192,1957
98251,9/30/18,WA,Seattle-Tacoma-Bellevue,Snohomish,Gold Bar,11726,1668,0.015834348,1480
98339,9/30/18,WA,,Jefferson,Port Hadlock,11735,1519,0.018779343,1137
99025,9/30/18,WA,Spokane-Spokane Valley,Spokane,Newman Lake,11751,1399,-0.020993702,1835
98675,9/30/18,WA,Portland-Vancouver-Hillsboro,Clark,Yacolt,11811,1881,0.020065076,1743
98024,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Fall City,11817,2507,-0.064552239,1653
98631,9/30/18,WA,,Pacific,Long Beach,11819,1351,-0.068275862,818
99349,9/30/18,WA,Moses Lake,Grant,Mattawa,11863,1179,0.062162162,1807
98266,9/30/18,WA,Bellingham,Whatcom,Maple Falls,11892,1319,0.094605809,942
98295,9/30/18,WA,Bellingham,Whatcom,Sumas,12060,1445,0.00837404,820
98237,9/30/18,WA,Mount Vernon-Anacortes,Skagit,Concrete,12157,1590,0.282258065,2714
98937,9/30/18,WA,Yakima,Yakima,Naches,12162,1059,0.066465257,3358
98591,9/30/18,WA,Centralia,Lewis,Toledo,12195,1290,0.12173913,1055
